Algorithm: Kruskal's MST
MST Edges:
16 80036 1
43 23432 1
60 14395 1
82 7977 1
134 98044 1
148 19953 1
185 5701 1
188 47420 1
194 18544 1
219 97404 1
291 90169 1
321 45517 1
386 13273 1
458 35437 1
458 97765 1
470 83932 1
535 7891 1
536 10294 1
544 83786 1
567 35726 1
617 75233 1
645 39175 1
734 35914 1
739 27825 1
752 1231 1
772 67310 1
785 72977 1
808 64337 1
809 2282 1
811 78021 1
824 78803 1
836 52988 1
874 4302 1
894 9586 1
922 97213 1
1001 22718 1
1044 78856 1
1046 1539 1
1063 54250 1
1067 43512 1
1067 60983 1
1072 92447 1
1107 42278 1
1165 31879 1
1201 19021 1
1227 98193 1
1247 93914 1
1308 30479 1
1323 50387 1
1352 29756 1
1363 93891 1
1365 65727 1
1455 98353 1
1456 19093 1
1476 29017 1
1503 20680 1
1550 74391 1
1588 53800 1
1632 84950 1
1701 53524 1
1705 29368 1
1714 73778 1
1721 57372 1
1734 71105 1
1794 98212 1
1805 29237 1
1826 75853 1
1855 72952 1
1873 29708 1
1920 25811 1
1966 17339 1
1982 32423 1
2009 11377 1
2020 20178 1
2100 46417 1
2104 6276 1
2126 12486 1
2144 43228 1
2157 37798 1
2187 52858 1
2213 41866 1
2248 67930 1
2252 40245 1
2271 37631 1
2282 59986 1
2303 73952 1
2326 68294 1
2329 39877 1
2371 92377 1
2386 34227 1
2409 9572 1
2433 80931 1
2482 38874 1
2489 21071 1
2530 88273 1
2550 18901 1
2594 68899 1
2622 53586 1
2659 22547 1
2680 20100 1
2700 81614 1
2705 30709 1
2707 53103 1
2710 58786 1
2744 42231 1
2770 45824 1
2779 50213 1
2825 9665 1
2826 12119 1
2838 17099 1
2840 28240 1
2847 94942 1
2871 42901 1
2885 20693 1
2891 70356 1
2897 95501 1
2905 58211 1
2918 8051 1
2950 31776 1
3014 83011 1
3034 99169 1
3046 59081 1
3086 33415 1
3130 78883 1
3202 76297 1
3251 58389 1
3269 13308 1
3285 41158 1
3303 28096 1
3355 11267 1
3364 59707 1
3407 25114 1
3461 78402 1
3467 57075 1
3482 55530 1
3521 91774 1
3538 48774 1
3606 68494 1
3651 67099 1
3658 19281 1
3668 38892 1
3719 95285 1
3746 11515 1
3758 82127 1
3847 46889 1
3889 38138 1
3890 80242 1
3903 28820 1
3908 92220 1
3921 98038 1
3931 60418 1
3935 57215 1
3942 12342 1
3984 43020 1
3987 55024 1
4008 78076 1
4045 36644 1
4092 65119 1
4098 5079 1
4121 52515 1
4123 55396 1
4154 48982 1
4158 12309 1
4161 15015 1
4165 15036 1
4195 86957 1
4243 35051 1
4249 98066 1
4291 16057 1
4292 5624 1
4317 91623 1
4336 37202 1
4386 64246 1
4394 55771 1
4401 12329 1
4413 49082 1
4448 66458 1
4464 5706 1
4468 84116 1
4470 59899 1
4508 6065 1
4546 57129 1
4597 25701 1
4658 11630 1
4673 60204 1
4693 50454 1
4783 11562 1
4801 75996 1
4819 38615 1
4820 80603 1
4873 45960 1
4907 22505 1
4909 36555 1
4912 88234 1
4956 10603 1
5098 25623 1
5104 23605 1
5151 51033 1
5155 80955 1
5172 62122 1
5211 52504 1
5214 10561 1
5250 83612 1
5282 11888 1
5299 41504 1
5309 85373 1
5315 41300 1
5330 59725 1
5336 50046 1
5345 15165 1
5349 95484 1
5370 51877 1
5412 52595 1
5443 54328 1
5486 70224 1
5500 21082 1
5677 21482 1
5714 90364 1
5717 75503 1
5757 96398 1
5766 28633 1
5771 12146 1
5820 10625 1
5878 60861 1
5879 94595 1
5887 88800 1
5892 28188 1
5905 6015 1
5922 18584 1
5958 50499 1
5969 60717 1
5972 37546 1
5977 73699 1
6009 11310 1
6017 12094 1
6032 49356 1
6035 15385 1
6044 49135 1
6051 99659 1
6058 21369 1
6095 71581 1
6135 41032 1
6152 46751 1
6221 89016 1
6226 64987 1
6260 84275 1
6304 54796 1
6311 80164 1
6347 79661 1
6385 37861 1
6392 28264 1
6415 69916 1
6423 49461 1
6437 47858 1
6454 87222 1
6467 54253 1
6500 65796 1
6504 84311 1
6562 78990 1
6570 27925 1
6675 53594 1
6728 17470 1
6729 85388 1
6763 18560 1
6768 96876 1
6770 16402 1
6790 27127 1
6814 6830 1
6900 57796 1
6907 80142 1
6920 32680 1
6965 63783 1
7011 52450 1
7040 99365 1
7111 86137 1
7112 98764 1
7114 13328 1
7121 8014 1
7150 45653 1
7152 53291 1
7159 63604 1
7182 60081 1
7185 15798 1
7200 90862 1
7241 16051 1
7260 41288 1
7279 81664 1
7287 21689 1
7314 34964 1
7371 31266 1
7432 56802 1
7465 28311 1
7489 65113 1
7497 67837 1
7521 12222 1
7521 96924 1
7531 19691 1
7597 38894 1
7603 32609 1
7623 30442 1
7638 85536 1
7704 71449 1
7758 96195 1
7822 17678 1
7852 96973 1
7858 19697 1
7909 43480 1
7910 49011 1
7930 93490 1
7973 30196 1
8031 28889 1
8064 70185 1
8078 24416 1
8089 58813 1
8108 11037 1
8119 30728 1
8157 79396 1
8302 56324 1
8320 21362 1
8327 67307 1
8339 96074 1
8357 74927 1
8358 22515 1
8371 71977 1
8375 74906 1
8458 31251 1
8495 65510 1
8518 22153 1
8531 18068 1
8588 81691 1
8632 56910 1
8675 24624 1
8687 42378 1
8693 32490 1
8701 54153 1
8708 71667 1
8721 19207 1
8865 55508 1
8883 66254 1
8970 90638 1
8977 47796 1
8980 79706 1
9098 64771 1
9123 68042 1
9155 25171 1
9181 17524 1
9205 50115 1
9237 91395 1
9256 26587 1
9308 70981 1
9396 84224 1
9466 57142 1
9469 62642 1
9476 90261 1
9522 33605 1
9600 83852 1
9650 93877 1
9683 64445 1
9702 21801 1
9720 50306 1
9723 95108 1
9727 12433 1
9734 20240 1
9746 80153 1
9764 86406 1
9785 16267 1
9823 99616 1
9861 53912 1
9889 13894 1
9889 72995 1
9903 93639 1
9906 36086 1
9922 74319 1
9928 65211 1
9953 31415 1
9960 83384 1
9995 18036 1
9999 98666 1
10030 73748 1
10041 63765 1
10046 48041 1
10078 85778 1
10121 12832 1
10149 11819 1
10168 89956 1
10170 62368 1
10247 18580 1
10337 27251 1
10380 58883 1
10410 84357 1
10419 15015 1
10430 65757 1
10431 86834 1
10465 19444 1
10492 94223 1
10496 57528 1
10520 47480 1
10573 45760 1
10598 73135 1
10614 94574 1
10649 28151 1
10740 63333 1
10795 50685 1
10814 34335 1
10852 22184 1
10865 85620 1
10866 13285 1
10867 50760 1
10876 76048 1
10903 11299 1
10921 15418 1
11020 27743 1
11059 66625 1
11060 16325 1
11090 90746 1
11211 19570 1
11334 12613 1
11355 48408 1
11409 71512 1
11411 50874 1
11425 64714 1
11484 38258 1
11485 75888 1
11500 33763 1
11502 65582 1
11529 88278 1
11570 91495 1
11586 41344 1
11596 48123 1
11613 15142 1
11638 98756 1
11642 84649 1
11686 82909 1
11704 68998 1
11713 73678 1
11741 19889 1
11749 63380 1
11777 31070 1
11789 90665 1
11799 78962 1
11804 99798 1
11805 96639 1
11812 26259 1
11823 33032 1
11827 12797 1
11878 17940 1
11893 86708 1
11960 78678 1
11966 47509 1
11997 14449 1
12017 75010 1
12022 67738 1
12081 62779 1
12086 60012 1
12107 51417 1
12113 17976 1
12132 60780 1
12146 35088 1
12232 97293 1
12233 70455 1
12263 34693 1
12282 50146 1
12286 33819 1
12314 58685 1
12332 48041 1
12336 29704 1
12340 81470 1
12341 26506 1
12353 50671 1
12356 80577 1
12367 37444 1
12371 63918 1
12387 82165 1
12408 59133 1
12458 23205 1
12465 66406 1
12477 34222 1
12484 36012 1
12498 74141 1
12518 31158 1
12600 82297 1
12622 34584 1
12624 14913 1
12628 35094 1
12653 48497 1
12695 88941 1
12727 35535 1
12769 78226 1
12843 59347 1
12878 52398 1
13016 96745 1
13037 82847 1
13058 63859 1
13086 75041 1
13139 16331 1
13155 38016 1
13166 91885 1
13212 34264 1
13251 50964 1
13276 94540 1
13295 66329 1
13317 83142 1
13360 20996 1
13427 83292 1
13447 34997 1
13456 61303 1
13487 73565 1
13521 70535 1
13530 83647 1
13606 46982 1
13619 43165 1
13619 85290 1
13676 58030 1
13697 45190 1
13709 96943 1
13711 58884 1
13739 47564 1
13753 52741 1
13787 54876 1
13866 67994 1
13881 74341 1
13947 53123 1
13948 66904 1
