Algorithm: PageRank
Damping: 0.85
Vertex ranks:
0 0.0937547
1 0.0906793
2 0.0932057
3 0.0922488
4 0.0924545
5 0.0919609
6 0.092647
7 0.091685
8 0.0921345
9 0.00532453
10 0.00454758
11 0.00317684
12 0.00255987
13 0.00335876
14 0.00277522
15 0.00165937
16 0.00280887
17 0.00181875
18 0.00250885
19 0.00332086
20 0.00247341
21 0.00181875
22 0.0023479
23 0.00190522
24 0.0015
25 0.00335675
26 0.00215443
27 0.0029346
28 0.00165937
29 0.00268336
30 0.0015
31 0.0015
32 0.00167631
33 0.00181875
34 0.0015
35 0.00215443
36 0.0015
37 0.00165937
38 0.00165937
39 0.00238334
40 0.0015
41 0.00215443
42 0.00165937
43 0.00181875
44 0.00165937
45 0.00165937
46 0.00181875
47 0.00250705
48 0.0015
49 0.0015
50 0.0015
51 0.0015
52 0.0015
53 0.00181875
54 0.00165937
55 0.00165937
56 0.0015
57 0.0015
58 0.0015
59 0.00183568
60 0.00181875
61 0.0015
62 0.0015
63 0.00165937
64 0.0015
65 0.00165937
66 0.0015
67 0.0015
68 0.0015
69 0.00165937
70 0.0015
71 0.0015
72 0.0015
73 0.0015
74 0.00165937
75 0.0015
76 0.0015
77 0.00165937
78 0.0015
79 0.0015
80 0.0015
81 0.0015
82 0.00181875
83 0.0015
84 0.0015
85 0.0015
86 0.0015
87 0.0015
88 0.0015
89 0.0015
90 0.0015
91 0.0015
92 0.0015
93 0.0015
94 0.0015
95 0.0015
96 0.0015
97 0.0015
98 0.0015
99 0.0015
Sum of ranks: 1
Iterations: 6
Converged: True
Execution time: 0 ms
