0	0
1	14
2	8
3	7
4	11
5	19
6	9
7	21
8	11
9	0
10	16
11	13
12	3
13	9
14	8
15	23
16	12
17	22
18	21
19	12
20	16
21	12
22	9
23	10
24	11
25	16
26	17
27	9
28	16
29	28
30	4
31	26
32	11
33	13
34	28
35	12
36	8
37	7
38	1
39	5
40	8
41	13
42	6
43	25
44	15
45	19
46	8
47	11
48	17
49	37
50	7
51	32
52	7
53	23
54	21
55	21
56	3
57	21
58	25
59	7
60	30
61	0
62	15
63	29
64	3
65	8
66	8
67	22
68	4
69	8
70	25
71	11
72	33
73	3
74	4
75	6
76	3
77	12
78	8
79	28
80	9
81	9
82	10
83	12
84	15
85	11
86	1
87	17
88	26
89	20
90	21
91	17
92	7
93	5
94	30
95	12
96	15
97	2
98	12
99	-1
